keyword,created_at,text,username,hashtag,hashtag_occurence
Doctor,2021-07-23 13:07:01,Dr. Stefanie Wolf - Doctor of Audiology - Audiology of Nassau County https://t.co/Hio7byFQC4  @NassauAudiology https://t.co/4mgzLMDPLs,WOBCNortheast,,246
Doctor,2021-07-23 13:07:01,RT @MikeSalcedo_: Eye Exam #bigfootjustice https://t.co/3lC6qZ7E40,Doctor_Venuz,bigfootjustice,1
Doctor,2021-07-23 13:07:00,RT @wjrradio: Did you miss your preventative care doctor’s appointment due to the pandemic?  Internal Medicine Dr. Nora Becker of Michigan…,UM_IHPI,,246
Doctor,2021-07-23 13:07:00,"@aproko_doctor I NEVER saw them fight. Even when they disagree on matters, they do it in their bedroom at night. If… https://t.co/8a6nML6LHp",KaluChioma14,,246
Doctor,2021-07-23 13:07:00,"RT @WPTV: Nearly entire state of Florida under ""high"" level of COVID-19 transmission, according to CDC https://t.co/Y8QDdFnlbl https://t.co…",LeChatNoire4,,246
Doctor,2021-07-23 13:06:59,"Menos mal que estoy acabando la semana grabando con el doctor Chapman, líder en tratamiento de adicciones entre la… https://t.co/LfYEnKqHKX",HelenaVillarRT,,246
Doctor,2021-07-23 13:06:59,@steve13082618 @KATVNews Talk to your doctor. Not a gif from a random anonymous named Steve.,KRoftheAR,,246
Doctor,2021-07-23 13:06:58,"RT @axios: NEW: About 100 of the 613 Team USA athletes have not been vaccinated, NBC News reports, citing the team's top doctor. https://t.…",FrederickBell,,246
Doctor,2021-07-23 13:06:58,@aproko_doctor Omo,Chidinma_Madu_,,246
Doctor,2021-07-23 13:06:58,RT @JackPosobiec: EXCLUSIVE: FBI chief who ignored abuse claims against Larry Nassar for over a YEAR is seen enjoying retirement after scat…,AlBSureBurnett,,246
Doctor,2021-07-23 13:06:57,"RT @KayKosmos: Dr Rogers:
""We won't get real healthcare reform until we elect representatives that actually represent us.
Healthcare will n…",KayKosmos,,246
Doctor,2021-07-23 13:06:57,"@sadlystupid @Stevephenni The old adage, nothing is certain except for death and taxes. What is life saving for one… https://t.co/My7jo7PBiK",lisa288888,,246
Doctor,2021-07-23 13:06:57,RT @_JAEFY00N: JEONG JAEHYUN AS A DOCTOR/SURGEON https://t.co/06ztIAxREs,jadeismultistan,,246
Doctor,2021-07-23 13:06:55,Doctor Narrates How A Female Police Officer Tried To Bully Her For Giving Her Documents Of Her Car With Left Hand https://t.co/fzXx70J33K,RepublicanNG,,246
Doctor,2021-07-23 13:06:55,"RT @b_lokidottir: 🚨RUMOR: Mamacita entrou para o elenco de ""Doctor Strange In The Multiverse of Madness"" https://t.co/YnmSc5seTq",M_clarinha15,,246
Doctor,2021-07-23 13:06:55,"RT @MonstersAndLove: what i'd do to doctor who if i was the show runner:

- make it more of a sit-com
- 21 minute long episodes, 20 a seaso…",FaethFGC,,246
Doctor,2021-07-23 13:06:55,"RT @AlanMCole: A data point on what some unvaccinated people actually look like. 

And this is a relatively proactive one; I assume there a…",putin_papi,,246
Doctor,2021-07-23 13:06:54,RT @bailey_jodie: Our 11 month old has tested positive for covid.We are back at home now but both the paramedic and doctor who treated us s…,sallywin,,246
Doctor,2021-07-23 13:06:54,@Doctor_Germany Was ist denn das? https://t.co/JL2UqDp0eY,J_Mark66,,246
Doctor,2021-07-23 13:06:54,@allahliker I'm a doctor and you can deal with it.,PenisDotGov,,246
Doctor,2021-07-23 13:06:53,"I'm going to the eye doctor today and I know I'll be dilated because he said last year, ""oh you're going to be 30,… https://t.co/h0rO6meCaC",rebelscum__,,246
Doctor,2021-07-23 13:06:53,Kelan po season 4 ng The Good Doctor sa @Netflix_PH? 🥺💔,princessbendita,,246
Doctor,2021-07-23 13:06:52,RT @Dineshk27504774: @narendramodi @DrRPNishank @sugawitter @Olympics @Paralympics @Tokyo2020 इसमे देर मत करिये सर FMG DOCTOR को ALLOW करि…,Kishore71726598,,246
Doctor,2021-07-23 13:06:52,"@lil_maggotman @WarKettle Also, if you take the total T level a trans male athlete is allowed to have in competitio… https://t.co/kSsc1Nnkit",TIMEUK101,,246
Doctor,2021-07-23 13:06:51,"RT @axios: NEW: About 100 of the 613 Team USA athletes have not been vaccinated, NBC News reports, citing the team's top doctor. https://t.…",nancyrubin,,246
Doctor,2021-07-23 13:06:51,RT @JReinerMD: “Unvaccinated doctor” is an oxymoron.  https://t.co/twREUypg6P,CollarIsBlue,,246
Doctor,2021-07-23 13:06:51,@bigfinish Still hoping for more Tenth Doctor and Rover Song volumes!,Adam96745128,,246
Doctor,2021-07-23 13:06:51,RT @twyse_116: The Doctor and The Coffin Maker 😭🤦🏽‍♂️ #TwyseAndFamily https://t.co/ZJ9aD1rGgw,og_fade,TwyseAndFamily,2
